,index,response,rt,ppt_idx,match,condition_a,condition_b,object,accuracy,list,ppt_id
66,25,2,0.906,26,Match,V,V,Caterpillar,1,1,1_26
67,26,2,1.011,27,Match,V,V,Caterpillar,1,1,1_27
68,27,2,1.356,28,Match,V,V,Caterpillar,1,1,1_28
69,28,2,0.956,29,Match,V,V,Caterpillar,1,1,1_29
70,29,2,1.39,30,Match,V,V,Caterpillar,1,1,1_30
71,30,2,0.67,31,Match,V,V,Caterpillar,1,1,1_31
72,31,2,1.425,32,Match,V,V,Caterpillar,1,1,1_32
73,32,2,0.653,33,Match,V,V,Caterpillar,1,1,1_33
74,33,2,1.669,34,Match,V,V,Caterpillar,1,1,1_34
75,34,2,1.557,35,Match,V,V,Caterpillar,1,1,1_35
76,35,2,0.971,36,Match,V,V,Caterpillar,1,1,1_36
77,36,2,1.175,37,Match,V,V,Caterpillar,1,1,1_37
78,37,2,2.218,38,Match,V,V,Caterpillar,1,1,1_38
79,38,2,1.455,39,Match,V,V,Caterpillar,1,1,1_39
80,39,2,0.802,40,Match,V,V,Caterpillar,1,1,1_40
81,40,2,0.702,41,Match,V,V,Caterpillar,1,1,1_41
82,0,2,0.529,1,Match,H,H,Glass,1,1,1_1
83,1,2,0.911,2,Match,H,H,Glass,1,1,1_2
84,2,2,0.649,3,Match,H,H,Glass,1,1,1_3
85,3,2,1.289,4,Match,H,H,Glass,1,1,1_4
86,4,2,0.716,5,Match,H,H,Glass,1,1,1_5
87,5,2,0.61,6,Match,H,H,Glass,1,1,1_6
88,6,2,1.089,7,Match,H,H,Glass,1,1,1_7
89,7,2,1.365,8,Match,H,H,Glass,1,1,1_8
90,8,2,1.347,9,Match,H,H,Glass,1,1,1_9
91,9,2,0.875,10,Match,H,H,Glass,1,1,1_10
92,10,2,1.014,11,Match,H,H,Glass,1,1,1_11
93,11,2,1.268,12,Match,H,H,Glass,1,1,1_12
94,12,2,1.246,13,Match,H,H,Glass,1,1,1_13
95,13,2,0.971,14,Match,H,H,Glass,1,1,1_14
96,14,2,2.032,15,Match,H,H,Glass,1,1,1_15
97,15,2,1.309,16,Match,H,H,Glass,1,1,1_16
98,16,2,0.989,17,Match,H,H,Glass,1,1,1_17
99,17,2,0.573,18,Match,H,H,Glass,1,1,1_18
100,18,2,2.149,19,Match,H,H,Glass,1,1,1_19
101,19,2,1.342,20,Match,H,H,Glass,1,1,1_20
102,20,2,1.582,21,Match,H,H,Glass,1,1,1_21
103,21,2,0.701,22,Match,H,H,Glass,1,1,1_22
104,22,2,0.527,23,Match,H,H,Glass,1,1,1_23
105,23,2,1.638,24,Match,H,H,Glass,1,1,1_24
106,24,2,0.733,25,Match,H,H,Glass,1,1,1_25
107,25,2,1.016,26,Match,H,H,Glass,1,1,1_26
108,26,2,1.127,27,Match,H,H,Glass,1,1,1_27
109,27,2,0.625,28,Match,H,H,Glass,1,1,1_28
110,28,2,1.875,29,Match,H,H,Glass,1,1,1_29
111,29,2,1.1,30,Match,H,H,Glass,1,1,1_30
112,30,2,1.155,31,Match,H,H,Glass,1,1,1_31
113,31,2,1.158,32,Match,H,H,Glass,1,1,1_32
114,32,2,0.73,33,Match,H,H,Glass,1,1,1_33
115,33,2,1.992,34,Match,H,H,Glass,1,1,1_34
116,34,2,1.014,35,Match,H,H,Glass,1,1,1_35
117,35,2,1.117,36,Match,H,H,Glass,1,1,1_36
118,36,2,1.083,37,Match,H,H,Glass,1,1,1_37
119,37,2,1.875,38,Match,H,H,Glass,1,1,1_38
120,38,2,0.541,39,Match,H,H,Glass,1,1,1_39
121,39,2,0.987,40,Match,H,H,Glass,1,1,1_40
122,40,2,2.075,41,Match,H,H,Glass,1,1,1_41
123,0,2,0.972,1,Match,V,V,Key,1,1,1_1
124,1,2,0.882,2,Match,V,V,Key,1,1,1_2
125,2,2,0.65,3,Match,V,V,Key,1,1,1_3
126,3,2,1.103,4,Match,V,V,Key,1,1,1_4
127,4,2,1.019,5,Match,V,V,Key,1,1,1_5
128,5,2,1.399,6,Match,V,V,Key,1,1,1_6
129,6,2,0.911,7,Match,V,V,Key,1,1,1_7
130,7,2,0.846,8,Match,V,V,Key,1,1,1_8
131,8,2,0.691,9,Match,V,V,Key,1,1,1_9
132,9,2,0.753,10,Match,V,V,Key,1,1,1_10
133,10,2,2.982,11,Match,V,V,Key,1,1,1_11
134,11,2,0.815,12,Match,V,V,Key,1,1,1_12
135,12,2,1.251,13,Match,V,V,Key,1,1,1_13
136,13,2,0.878,14,Match,V,V,Key,1,1,1_14
137,14,2,1.027,15,Match,V,V,Key,1,1,1_15
138,15,2,1.064,16,Match,V,V,Key,1,1,1_16
139,16,2,1.289,17,Match,V,V,Key,1,1,1_17
140,17,2,0.785,18,Match,V,V,Key,1,1,1_18
141,18,2,1.489,19,Match,V,V,Key,1,1,1_19
142,19,2,0.627,20,Match,V,V,Key,1,1,1_20
143,20,2,2.203,21,Match,V,V,Key,1,1,1_21
144,21,2,0.843,22,Match,V,V,Key,1,1,1_22
145,22,2,0.591,23,Match,V,V,Key,1,1,1_23
146,23,2,0.851,24,Match,V,V,Key,1,1,1_24
147,24,2,0.521,25,Match,V,V,Key,1,1,1_25
148,25,2,0.578,26,Match,V,V,Key,1,1,1_26
149,26,2,2.07,27,Match,V,V,Key,1,1,1_27
150,27,2,0.748,28,Match,V,V,Key,1,1,1_28
151,28,2,0.921,29,Match,V,V,Key,1,1,1_29
152,29,2,0.39,30,Match,V,V,Key,1,1,1_30
153,30,2,0.681,31,Match,V,V,Key,1,1,1_31
154,31,2,1.157,32,Match,V,V,Key,1,1,1_32
155,32,2,0.555,33,Match,V,V,Key,1,1,1_33
156,33,2,1.084,34,Match,V,V,Key,1,1,1_34
157,34,2,0.892,35,Match,V,V,Key,1,1,1_35
158,35,2,0.66,36,Match,V,V,Key,1,1,1_36
159,36,2,1.017,37,Match,V,V,Key,1,1,1_37
160,37,1,10.047,38,Match,V,V,Key,0,1,1_38
161,38,2,0.63,39,Match,V,V,Key,1,1,1_39
162,39,2,0.727,40,Match,V,V,Key,1,1,1_40
163,40,2,0.529,41,Match,V,V,Key,1,1,1_41
164,0,2,0.469,1,Match,H,H,Plate,1,1,1_1
165,1,2,0.699,2,Match,H,H,Plate,1,1,1_2
166,2,2,0.734,3,Match,H,H,Plate,1,1,1_3
167,3,2,0.87,4,Match,H,H,Plate,1,1,1_4
168,4,2,0.481,5,Match,H,H,Plate,1,1,1_5
169,5,2,0.759,6,Match,H,H,Plate,1,1,1_6
170,6,2,0.667,7,Match,H,H,Plate,1,1,1_7
171,7,2,1.177,8,Match,H,H,Plate,1,1,1_8
172,8,2,1.686,9,Match,H,H,Plate,1,1,1_9
173,9,2,0.972,10,Match,H,H,Plate,1,1,1_10
174,10,2,2.575,11,Match,H,H,Plate,1,1,1_11
175,11,2,0.596,12,Match,H,H,Plate,1,1,1_12
176,12,2,0.953,13,Match,H,H,Plate,1,1,1_13
177,13,2,0.906,14,Match,H,H,Plate,1,1,1_14
178,14,1,0.803,15,Match,H,H,Plate,0,1,1_15
179,15,2,0.938,16,Match,H,H,Plate,1,1,1_16
180,16,2,0.697,17,Match,H,H,Plate,1,1,1_17
181,17,2,0.914,18,Match,H,H,Plate,1,1,1_18
182,18,1,3.354,19,Match,H,H,Plate,0,1,1_19
183,19,2,0.603,20,Match,H,H,Plate,1,1,1_20
184,20,2,2.537,21,Match,H,H,Plate,1,1,1_21
185,21,2,0.872,22,Match,H,H,Plate,1,1,1_22
186,22,2,0.703,23,Match,H,H,Plate,1,1,1_23
187,23,2,2.946,24,Match,H,H,Plate,1,1,1_24
188,24,2,0.908,25,Match,H,H,Plate,1,1,1_25
189,25,2,0.796,26,Match,H,H,Plate,1,1,1_26
190,26,2,1.393,27,Match,H,H,Plate,1,1,1_27
191,27,2,0.716,28,Match,H,H,Plate,1,1,1_28
192,28,1,2.628,29,Match,H,H,Plate,0,1,1_29
193,29,2,2.03,30,Match,H,H,Plate,1,1,1_30
194,30,2,0.531,31,Match,H,H,Plate,1,1,1_31
195,31,2,0.694,32,Match,H,H,Plate,1,1,1_32
196,32,2,0.639,33,Match,H,H,Plate,1,1,1_33
197,33,2,1.77,34,Match,H,H,Plate,1,1,1_34
198,34,2,1.263,35,Match,H,H,Plate,1,1,1_35
199,35,1,4.304,36,Match,H,H,Plate,0,1,1_36
200,36,2,1.075,37,Match,H,H,Plate,1,1,1_37
201,37,2,6.687,38,Match,H,H,Plate,1,1,1_38
202,38,2,0.496,39,Match,H,H,Plate,1,1,1_39
203,39,2,0.89,40,Match,H,H,Plate,1,1,1_40
204,40,2,0.848,41,Match,H,H,Plate,1,1,1_41
205,0,2,0.706,1,Match,V,V,Screw,1,1,1_1
206,1,2,0.682,2,Match,V,V,Screw,1,1,1_2
207,2,2,0.622,3,Match,V,V,Screw,1,1,1_3
208,3,2,0.786,4,Match,V,V,Screw,1,1,1_4
209,4,2,0.594,5,Match,V,V,Screw,1,1,1_5
210,5,2,0.815,6,Match,V,V,Screw,1,1,1_6
211,6,2,0.774,7,Match,V,V,Screw,1,1,1_7
212,7,2,1.092,8,Match,V,V,Screw,1,1,1_8
213,8,2,0.681,9,Match,V,V,Screw,1,1,1_9
214,9,2,0.642,10,Match,V,V,Screw,1,1,1_10
215,10,2,0.459,11,Match,V,V,Screw,1,1,1_11
216,11,2,2.06,12,Match,V,V,Screw,1,1,1_12
217,12,2,0.932,13,Match,V,V,Screw,1,1,1_13
218,13,2,0.827,14,Match,V,V,Screw,1,1,1_14
219,14,2,0.647,15,Match,V,V,Screw,1,1,1_15
220,15,2,0.796,16,Match,V,V,Screw,1,1,1_16
221,16,2,0.764,17,Match,V,V,Screw,1,1,1_17
222,17,2,0.728,18,Match,V,V,Screw,1,1,1_18
223,18,2,1.859,19,Match,V,V,Screw,1,1,1_19
224,19,2,0.618,20,Match,V,V,Screw,1,1,1_20
225,20,2,1.295,21,Match,V,V,Screw,1,1,1_21
226,21,2,0.731,22,Match,V,V,Screw,1,1,1_22
227,22,2,0.672,23,Match,V,V,Screw,1,1,1_23
228,23,2,1.263,24,Match,V,V,Screw,1,1,1_24
229,24,2,0.585,25,Match,V,V,Screw,1,1,1_25
230,25,2,0.515,26,Match,V,V,Screw,1,1,1_26
231,26,2,0.93,27,Match,V,V,Screw,1,1,1_27
232,27,2,0.938,28,Match,V,V,Screw,1,1,1_28
233,28,2,0.721,29,Match,V,V,Screw,1,1,1_29
234,29,2,0.62,30,Match,V,V,Screw,1,1,1_30
235,30,2,0.747,31,Match,V,V,Screw,1,1,1_31
236,31,2,1.067,32,Match,V,V,Screw,1,1,1_32
237,32,2,0.57,33,Match,V,V,Screw,1,1,1_33
238,33,2,1.113,34,Match,V,V,Screw,1,1,1_34
239,34,2,1.328,35,Match,V,V,Screw,1,1,1_35
240,35,2,1.038,36,Match,V,V,Screw,1,1,1_36
241,36,2,0.575,37,Match,V,V,Screw,1,1,1_37
242,37,2,2.125,38,Match,V,V,Screw,1,1,1_38
243,38,2,0.464,39,Match,V,V,Screw,1,1,1_39
244,39,2,0.558,40,Match,V,V,Screw,1,1,1_40
245,40,2,0.803,41,Match,V,V,Screw,1,1,1_41
246,0,2,0.485,1,Match,H,H,Bat,1,1,1_1
247,1,2,0.754,2,Match,H,H,Bat,1,1,1_2
248,2,2,0.724,3,Match,H,H,Bat,1,1,1_3
249,3,2,1.221,4,Match,H,H,Bat,1,1,1_4
250,4,2,0.479,5,Match,H,H,Bat,1,1,1_5
251,5,2,2.645,6,Match,H,H,Bat,1,1,1_6
252,6,2,1.108,7,Match,H,H,Bat,1,1,1_7
253,7,2,0.822,8,Match,H,H,Bat,1,1,1_8
254,8,2,1.032,9,Match,H,H,Bat,1,1,1_9
255,9,2,1.099,10,Match,H,H,Bat,1,1,1_10
256,10,2,1.146,11,Match,H,H,Bat,1,1,1_11
257,11,2,0.848,12,Match,H,H,Bat,1,1,1_12
258,12,2,0.784,13,Match,H,H,Bat,1,1,1_13
259,13,2,0.974,14,Match,H,H,Bat,1,1,1_14
260,14,2,0.786,15,Match,H,H,Bat,1,1,1_15
261,15,2,1.014,16,Match,H,H,Bat,1,1,1_16
262,16,2,0.818,17,Match,H,H,Bat,1,1,1_17
263,17,2,0.993,18,Match,H,H,Bat,1,1,1_18
264,18,1,1.427,19,Match,H,H,Bat,0,1,1_19
265,19,2,0.622,20,Match,H,H,Bat,1,1,1_20
266,20,2,1.54,21,Match,H,H,Bat,1,1,1_21
267,21,2,0.683,22,Match,H,H,Bat,1,1,1_22
268,22,2,0.557,23,Match,H,H,Bat,1,1,1_23
269,23,2,0.609,24,Match,H,H,Bat,1,1,1_24
270,24,2,0.611,25,Match,H,H,Bat,1,1,1_25
271,25,2,0.719,26,Match,H,H,Bat,1,1,1_26
272,26,2,1.058,27,Match,H,H,Bat,1,1,1_27
273,27,2,0.736,28,Match,H,H,Bat,1,1,1_28
274,28,2,0.821,29,Match,H,H,Bat,1,1,1_29
275,29,2,0.51,30,Match,H,H,Bat,1,1,1_30
276,30,2,0.594,31,Match,H,H,Bat,1,1,1_31
277,31,2,1.497,32,Match,H,H,Bat,1,1,1_32
278,32,2,0.475,33,Match,H,H,Bat,1,1,1_33
279,33,2,1.194,34,Match,H,H,Bat,1,1,1_34
280,34,2,1.005,35,Match,H,H,Bat,1,1,1_35
281,35,2,1.411,36,Match,H,H,Bat,1,1,1_36
282,36,2,0.429,37,Match,H,H,Bat,1,1,1_37
283,37,2,2.5,38,Match,H,H,Bat,1,1,1_38
284,38,2,0.496,39,Match,H,H,Bat,1,1,1_39
285,39,2,0.641,40,Match,H,H,Bat,1,1,1_40
286,40,2,0.628,41,Match,H,H,Bat,1,1,1_41
287,0,2,0.659,1,Match,V,V,Bowl,1,1,1_1
288,1,2,0.98,2,Match,V,V,Bowl,1,1,1_2
289,2,2,0.656,3,Match,V,V,Bowl,1,1,1_3
290,3,2,0.786,4,Match,V,V,Bowl,1,1,1_4
291,4,2,0.652,5,Match,V,V,Bowl,1,1,1_5
292,5,2,0.591,6,Match,V,V,Bowl,1,1,1_6
293,6,2,0.734,7,Match,V,V,Bowl,1,1,1_7
294,7,2,0.768,8,Match,V,V,Bowl,1,1,1_8
295,8,2,1.119,9,Match,V,V,Bowl,1,1,1_9
296,9,2,0.676,10,Match,V,V,Bowl,1,1,1_10
297,10,2,0.429,11,Match,V,V,Bowl,1,1,1_11
298,11,2,0.818,12,Match,V,V,Bowl,1,1,1_12
299,12,2,3.226,13,Match,V,V,Bowl,1,1,1_13
300,13,2,1.931,14,Match,V,V,Bowl,1,1,1_14
301,14,2,2.419,15,Match,V,V,Bowl,1,1,1_15
302,15,2,1.015,16,Match,V,V,Bowl,1,1,1_16
303,16,2,0.822,17,Match,V,V,Bowl,1,1,1_17
304,17,2,1.221,18,Match,V,V,Bowl,1,1,1_18
305,18,2,2.195,19,Match,V,V,Bowl,1,1,1_19
306,19,2,0.767,20,Match,V,V,Bowl,1,1,1_20
307,20,2,1.282,21,Match,V,V,Bowl,1,1,1_21
308,21,2,1.097,22,Match,V,V,Bowl,1,1,1_22
309,22,2,0.934,23,Match,V,V,Bowl,1,1,1_23
310,23,2,0.948,24,Match,V,V,Bowl,1,1,1_24
311,24,2,0.84,25,Match,V,V,Bowl,1,1,1_25
312,25,2,0.563,26,Match,V,V,Bowl,1,1,1_26
313,26,2,1.392,27,Match,V,V,Bowl,1,1,1_27
314,27,2,0.8,28,Match,V,V,Bowl,1,1,1_28
315,28,2,0.783,29,Match,V,V,Bowl,1,1,1_29
316,29,2,0.51,30,Match,V,V,Bowl,1,1,1_30
317,30,2,1.456,31,Match,V,V,Bowl,1,1,1_31
318,31,2,1.473,32,Match,V,V,Bowl,1,1,1_32
319,32,2,0.588,33,Match,V,V,Bowl,1,1,1_33
320,33,2,2.104,34,Match,V,V,Bowl,1,1,1_34
321,34,1,2.093,35,Match,V,V,Bowl,0,1,1_35
322,35,2,0.735,36,Match,V,V,Bowl,1,1,1_36
323,36,2,0.44,37,Match,V,V,Bowl,1,1,1_37
324,37,2,2.438,38,Match,V,V,Bowl,1,1,1_38
325,38,2,0.691,39,Match,V,V,Bowl,1,1,1_39
326,39,2,0.803,40,Match,V,V,Bowl,1,1,1_40
327,40,2,0.687,41,Match,V,V,Bowl,1,1,1_41
328,0,2,1.118,1,Match,H,H,Clthspnh,1,1,1_1
329,1,2,1.034,2,Match,H,H,Clthspnh,1,1,1_2
330,2,2,1.024,3,Match,H,H,Clthspnh,1,1,1_3
331,3,2,1.042,4,Match,H,H,Clthspnh,1,1,1_4
332,4,2,0.895,5,Match,H,H,Clthspnh,1,1,1_5
333,5,2,0.642,6,Match,H,H,Clthspnh,1,1,1_6
334,6,2,0.74,7,Match,H,H,Clthspnh,1,1,1_7
335,7,2,0.874,8,Match,H,H,Clthspnh,1,1,1_8
336,8,2,0.582,9,Match,H,H,Clthspnh,1,1,1_9
337,9,2,1.838,10,Match,H,H,Clthspnh,1,1,1_10
338,10,2,1.992,11,Match,H,H,Clthspnh,1,1,1_11
339,11,2,1.401,12,Match,H,H,Clthspnh,1,1,1_12
340,12,2,0.946,13,Match,H,H,Clthspnh,1,1,1_13
341,13,2,2.323,14,Match,H,H,Clthspnh,1,1,1_14
342,14,2,0.753,15,Match,H,H,Clthspnh,1,1,1_15
343,15,2,0.963,16,Match,H,H,Clthspnh,1,1,1_16
344,16,2,0.899,17,Match,H,H,Clthspnh,1,1,1_17
345,17,2,0.964,18,Match,H,H,Clthspnh,1,1,1_18
346,18,2,1.945,19,Match,H,H,Clthspnh,1,1,1_19
347,19,2,0.589,20,Match,H,H,Clthspnh,1,1,1_20
348,20,2,2.692,21,Match,H,H,Clthspnh,1,1,1_21
349,21,2,0.664,22,Match,H,H,Clthspnh,1,1,1_22
350,22,2,0.836,23,Match,H,H,Clthspnh,1,1,1_23
351,23,2,1.04,24,Match,H,H,Clthspnh,1,1,1_24
352,24,2,0.428,25,Match,H,H,Clthspnh,1,1,1_25
353,25,2,0.438,26,Match,H,H,Clthspnh,1,1,1_26
354,26,2,1.347,27,Match,H,H,Clthspnh,1,1,1_27
355,27,2,0.846,28,Match,H,H,Clthspnh,1,1,1_28
356,28,2,1.864,29,Match,H,H,Clthspnh,1,1,1_29
357,29,2,0.52,30,Match,H,H,Clthspnh,1,1,1_30
358,30,2,0.963,31,Match,H,H,Clthspnh,1,1,1_31
359,31,2,1.306,32,Match,H,H,Clthspnh,1,1,1_32
360,32,2,1.356,33,Match,H,H,Clthspnh,1,1,1_33
361,33,2,0.946,34,Match,H,H,Clthspnh,1,1,1_34
362,34,2,1.105,35,Match,H,H,Clthspnh,1,1,1_35
363,35,2,1.044,36,Match,H,H,Clthspnh,1,1,1_36
364,36,2,0.957,37,Match,H,H,Clthspnh,1,1,1_37
365,37,2,3.313,38,Match,H,H,Clthspnh,1,1,1_38
366,38,2,1.326,39,Match,H,H,Clthspnh,1,1,1_39
367,39,2,0.563,40,Match,H,H,Clthspnh,1,1,1_40
368,40,2,0.731,41,Match,H,H,Clthspnh,1,1,1_41
369,0,2,0.332,1,Match,V,V,frxtinguisher,1,1,1_1
370,1,2,0.502,2,Match,V,V,frxtinguisher,1,1,1_2
371,2,2,1.108,3,Match,V,V,frxtinguisher,1,1,1_3
372,3,2,1.423,4,Match,V,V,frxtinguisher,1,1,1_4
373,4,2,0.608,5,Match,V,V,frxtinguisher,1,1,1_5
374,5,2,0.549,6,Match,V,V,frxtinguisher,1,1,1_6
375,6,2,0.872,7,Match,V,V,frxtinguisher,1,1,1_7
376,7,2,1,8,Match,V,V,frxtinguisher,1,1,1_8
377,8,2,1.153,9,Match,V,V,frxtinguisher,1,1,1_9
378,9,2,0.551,10,Match,V,V,frxtinguisher,1,1,1_10
379,10,2,1.215,11,Match,V,V,frxtinguisher,1,1,1_11
380,11,2,0.782,12,Match,V,V,frxtinguisher,1,1,1_12
381,12,2,0.755,13,Match,V,V,frxtinguisher,1,1,1_13
382,13,2,0.575,14,Match,V,V,frxtinguisher,1,1,1_14
383,14,2,0.638,15,Match,V,V,frxtinguisher,1,1,1_15
384,15,2,0.893,16,Match,V,V,frxtinguisher,1,1,1_16
385,16,2,0.963,17,Match,V,V,frxtinguisher,1,1,1_17
386,17,2,0.917,18,Match,V,V,frxtinguisher,1,1,1_18
387,18,2,2.645,19,Match,V,V,frxtinguisher,1,1,1_19
388,19,2,0.446,20,Match,V,V,frxtinguisher,1,1,1_20
389,20,2,4.037,21,Match,V,V,frxtinguisher,1,1,1_21
390,21,2,0.763,22,Match,V,V,frxtinguisher,1,1,1_22
391,22,2,1.037,23,Match,V,V,frxtinguisher,1,1,1_23
392,23,2,1.152,24,Match,V,V,frxtinguisher,1,1,1_24
393,24,2,0.405,25,Match,V,V,frxtinguisher,1,1,1_25
394,25,2,1.125,26,Match,V,V,frxtinguisher,1,1,1_26
395,26,2,0.893,27,Match,V,V,frxtinguisher,1,1,1_27
396,27,2,0.792,28,Match,V,V,frxtinguisher,1,1,1_28
397,28,2,0.497,29,Match,V,V,frxtinguisher,1,1,1_29
398,29,2,0.9,30,Match,V,V,frxtinguisher,1,1,1_30
399,30,2,0.786,31,Match,V,V,frxtinguisher,1,1,1_31
400,31,2,0.805,32,Match,V,V,frxtinguisher,1,1,1_32
401,32,2,0.7,33,Match,V,V,frxtinguisher,1,1,1_33
402,33,2,1.162,34,Match,V,V,frxtinguisher,1,1,1_34
403,34,2,0.879,35,Match,V,V,frxtinguisher,1,1,1_35
404,35,2,0.719,36,Match,V,V,frxtinguisher,1,1,1_36
405,36,2,0.463,37,Match,V,V,frxtinguisher,1,1,1_37
406,37,2,2.156,38,Match,V,V,frxtinguisher,1,1,1_38
407,38,2,0.495,39,Match,V,V,frxtinguisher,1,1,1_39
408,39,2,0.947,40,Match,V,V,frxtinguisher,1,1,1_40
409,40,2,0.627,41,Match,V,V,frxtinguisher,1,1,1_41
410,0,2,0.415,1,Match,H,H,Nail,1,1,1_1
411,1,2,0.612,2,Match,H,H,Nail,1,1,1_2
412,2,2,1.15,3,Match,H,H,Nail,1,1,1_3
413,3,2,0.774,4,Match,H,H,Nail,1,1,1_4
414,4,2,0.638,5,Match,H,H,Nail,1,1,1_5
415,5,2,0.612,6,Match,H,H,Nail,1,1,1_6
416,6,2,0.748,7,Match,H,H,Nail,1,1,1_7
417,7,2,1.106,8,Match,H,H,Nail,1,1,1_8
418,8,2,0.698,9,Match,H,H,Nail,1,1,1_9
419,9,2,1.31,10,Match,H,H,Nail,1,1,1_10
420,10,2,0.429,11,Match,H,H,Nail,1,1,1_11
421,11,2,0.933,12,Match,H,H,Nail,1,1,1_12
422,12,2,0.927,13,Match,H,H,Nail,1,1,1_13
423,13,2,1.099,14,Match,H,H,Nail,1,1,1_14
424,14,2,1.139,15,Match,H,H,Nail,1,1,1_15
425,15,2,1.1,16,Match,H,H,Nail,1,1,1_16
426,16,2,0.871,17,Match,H,H,Nail,1,1,1_17
427,17,2,0.966,18,Match,H,H,Nail,1,1,1_18
428,18,2,2.117,19,Match,H,H,Nail,1,1,1_19
429,19,2,0.795,20,Match,H,H,Nail,1,1,1_20
430,20,2,2.098,21,Match,H,H,Nail,1,1,1_21
431,21,2,0.652,22,Match,H,H,Nail,1,1,1_22
432,22,2,0.713,23,Match,H,H,Nail,1,1,1_23
433,23,2,1.505,24,Match,H,H,Nail,1,1,1_24
434,24,2,0.696,25,Match,H,H,Nail,1,1,1_25
