,index,response,rt,ppt_idx,accuracy,match,media_condition,sent_condition,item,object,list,ppt_id
112,26,2,1.825,27,1,match,a,a,35,airplane,1,1_27
113,27,1, ,28,0,match,a,a,35,airplane,1,1_28
114,28,2,2.22,29,1,match,a,a,35,airplane,1,1_29
115,29,2,0.611,30,1,match,a,a,35,airplane,1,1_30
116,30,2,1.048,31,1,match,a,a,35,airplane,1,1_31
117,31,2,0.836,32,1,match,a,a,35,airplane,1,1_32
118,32,2,0.594,33,1,match,a,a,35,airplane,1,1_33
119,33,2,0.621,34,1,match,a,a,35,airplane,1,1_34
120,34,2,5.817,35,1,match,a,a,35,airplane,1,1_35
121,35,1, ,36,0,match,a,a,35,airplane,1,1_36
122,36,2,1.78,37,1,match,a,a,35,airplane,1,1_37
123,37,2,1.29,38,1,match,a,a,35,airplane,1,1_38
124,38,2,1.026,39,1,match,a,a,35,airplane,1,1_39
125,39,2,0.599,40,1,match,a,a,35,airplane,1,1_40
126,40,2,1.165,41,1,match,a,a,35,airplane,1,1_41
127,41,2,0.794,42,1,match,a,a,35,airplane,1,1_42
128,42,2,0.659,43,1,match,a,a,35,airplane,1,1_43
129,0,2,0.453,1,1,match,a,a,53,apple,1,1_1
130,1,2,0.762,2,1,match,a,a,53,apple,1,1_2
131,2,2,0.439,3,1,match,a,a,53,apple,1,1_3
132,3,2,0.471,4,1,match,a,a,53,apple,1,1_4
133,4,2,1.673,5,1,match,a,a,53,apple,1,1_5
134,5,2,0.554,6,1,match,a,a,53,apple,1,1_6
135,6,2,1.224,7,1,match,a,a,53,apple,1,1_7
136,7,2,1.006,8,1,match,a,a,53,apple,1,1_8
137,8,2,0.441,9,1,match,a,a,53,apple,1,1_9
138,9,2,0.687,10,1,match,a,a,53,apple,1,1_10
139,10,2,0.803,11,1,match,a,a,53,apple,1,1_11
140,11,2,1.334,12,1,match,a,a,53,apple,1,1_12
141,12,1, ,13,0,match,a,a,53,apple,1,1_13
142,13,2,0.608,14,1,match,a,a,53,apple,1,1_14
143,14,2,0.463,15,1,match,a,a,53,apple,1,1_15
144,15,2,0.511,16,1,match,a,a,53,apple,1,1_16
145,16,2,1.003,17,1,match,a,a,53,apple,1,1_17
146,17,2,0.604,18,1,match,a,a,53,apple,1,1_18
147,18,2,0.781,19,1,match,a,a,53,apple,1,1_19
148,19,2,1.094,20,1,match,a,a,53,apple,1,1_20
149,20,2,1.079,21,1,match,a,a,53,apple,1,1_21
150,21,2,0.784,22,1,match,a,a,53,apple,1,1_22
151,22,2,1.969,23,1,match,a,a,53,apple,1,1_23
152,23,2,0.841,24,1,match,a,a,53,apple,1,1_24
153,24,2,0.762,25,1,match,a,a,53,apple,1,1_25
154,25,2,1.37,26,1,match,a,a,53,apple,1,1_26
155,26,2,1.486,27,1,match,a,a,53,apple,1,1_27
156,27,2,0.866,28,1,match,a,a,53,apple,1,1_28
157,28,2,0.991,29,1,match,a,a,53,apple,1,1_29
158,29,2,0.86,30,1,match,a,a,53,apple,1,1_30
159,30,2,0.691,31,1,match,a,a,53,apple,1,1_31
160,31,2,0.759,32,1,match,a,a,53,apple,1,1_32
161,32,2,0.747,33,1,match,a,a,53,apple,1,1_33
162,33,2,0.741,34,1,match,a,a,53,apple,1,1_34
163,34,2,1.045,35,1,match,a,a,53,apple,1,1_35
164,35,2,1.23,36,1,match,a,a,53,apple,1,1_36
165,36,2,1.251,37,1,match,a,a,53,apple,1,1_37
166,37,2,0.828,38,1,match,a,a,53,apple,1,1_38
167,38,2,0.441,39,1,match,a,a,53,apple,1,1_39
168,39,2,0.464,40,1,match,a,a,53,apple,1,1_40
169,40,2,0.687,41,1,match,a,a,53,apple,1,1_41
170,41,2,1.614,42,1,match,a,a,53,apple,1,1_42
171,42,2,0.929,43,1,match,a,a,53,apple,1,1_43
172,0,2,0.627,1,1,match,a,a,40,bread,1,1_1
173,1,2,0.582,2,1,match,a,a,40,bread,1,1_2
174,2,2,0.613,3,1,match,a,a,40,bread,1,1_3
175,3,2,0.61,4,1,match,a,a,40,bread,1,1_4
176,4,2,2.234,5,1,match,a,a,40,bread,1,1_5
177,5,2,0.481,6,1,match,a,a,40,bread,1,1_6
178,6,2,1.375,7,1,match,a,a,40,bread,1,1_7
179,7,2,3.373,8,1,match,a,a,40,bread,1,1_8
180,8,2,0.636,9,1,match,a,a,40,bread,1,1_9
181,9,2,3.672,10,1,match,a,a,40,bread,1,1_10
182,10,2,1.275,11,1,match,a,a,40,bread,1,1_11
183,11,2,1.601,12,1,match,a,a,40,bread,1,1_12
184,12,1, ,13,0,match,a,a,40,bread,1,1_13
185,13,2,0.529,14,1,match,a,a,40,bread,1,1_14
186,14,2,1.099,15,1,match,a,a,40,bread,1,1_15
187,15,2,0.797,16,1,match,a,a,40,bread,1,1_16
188,16,2,1.361,17,1,match,a,a,40,bread,1,1_17
189,17,2,0.649,18,1,match,a,a,40,bread,1,1_18
190,18,2,1.118,19,1,match,a,a,40,bread,1,1_19
191,19,2,1.025,20,1,match,a,a,40,bread,1,1_20
192,20,2,1.044,21,1,match,a,a,40,bread,1,1_21
193,21,2,0.844,22,1,match,a,a,40,bread,1,1_22
194,22,2,1.5,23,1,match,a,a,40,bread,1,1_23
195,23,2,1.154,24,1,match,a,a,40,bread,1,1_24
196,24,2,0.609,25,1,match,a,a,40,bread,1,1_25
197,25,2,0.847,26,1,match,a,a,40,bread,1,1_26
198,26,2,1.243,27,1,match,a,a,40,bread,1,1_27
199,27,2,0.84,28,1,match,a,a,40,bread,1,1_28
200,28,2,1.265,29,1,match,a,a,40,bread,1,1_29
201,29,2,0.814,30,1,match,a,a,40,bread,1,1_30
202,30,2,2.359,31,1,match,a,a,40,bread,1,1_31
203,31,2,1.068,32,1,match,a,a,40,bread,1,1_32
204,32,2,0.819,33,1,match,a,a,40,bread,1,1_33
205,33,2,0.89,34,1,match,a,a,40,bread,1,1_34
206,34,2,1.783,35,1,match,a,a,40,bread,1,1_35
207,35,2,1.144,36,1,match,a,a,40,bread,1,1_36
208,36,2,0.68,37,1,match,a,a,40,bread,1,1_37
209,37,2,1.083,38,1,match,a,a,40,bread,1,1_38
210,38,2,0.935,39,1,match,a,a,40,bread,1,1_39
211,39,2,0.542,40,1,match,a,a,40,bread,1,1_40
212,40,2,1.37,41,1,match,a,a,40,bread,1,1_41
213,41,2,0.777,42,1,match,a,a,40,bread,1,1_42
214,42,2,0.8,43,1,match,a,a,40,bread,1,1_43
215,0,2,0.593,1,1,match,b,b,36,chicken,1,1_1
216,1,2,0.703,2,1,match,b,b,36,chicken,1,1_2
217,2,2,0.424,3,1,match,b,b,36,chicken,1,1_3
218,3,2,0.58,4,1,match,b,b,36,chicken,1,1_4
219,4,2,77.797,5,1,match,b,b,36,chicken,1,1_5
220,5,2,0.577,6,1,match,b,b,36,chicken,1,1_6
221,6,2,1.185,7,1,match,b,b,36,chicken,1,1_7
222,7,2,3.386,8,1,match,b,b,36,chicken,1,1_8
223,8,2,0.909,9,1,match,b,b,36,chicken,1,1_9
224,9,2,0.937,10,1,match,b,b,36,chicken,1,1_10
225,10,2,0.915,11,1,match,b,b,36,chicken,1,1_11
226,11,2,1.882,12,1,match,b,b,36,chicken,1,1_12
227,12,2,1.555,13,1,match,b,b,36,chicken,1,1_13
228,13,2,0.603,14,1,match,b,b,36,chicken,1,1_14
229,14,2,0.736,15,1,match,b,b,36,chicken,1,1_15
230,15,2,1.307,16,1,match,b,b,36,chicken,1,1_16
231,16,2,1.096,17,1,match,b,b,36,chicken,1,1_17
232,17,2,0.76,18,1,match,b,b,36,chicken,1,1_18
233,18,2,1.005,19,1,match,b,b,36,chicken,1,1_19
234,19,2,2.212,20,1,match,b,b,36,chicken,1,1_20
235,20,2,0.93,21,1,match,b,b,36,chicken,1,1_21
236,21,2,0.928,22,1,match,b,b,36,chicken,1,1_22
237,22,2,11.125,23,1,match,b,b,36,chicken,1,1_23
238,23,2,0.686,24,1,match,b,b,36,chicken,1,1_24
239,24,2,0.711,25,1,match,b,b,36,chicken,1,1_25
240,25,2,0.774,26,1,match,b,b,36,chicken,1,1_26
241,26,2,1.067,27,1,match,b,b,36,chicken,1,1_27
242,27,2,3.235,28,1,match,b,b,36,chicken,1,1_28
243,28,1, ,29,0,match,b,b,36,chicken,1,1_29
244,29,2,0.732,30,1,match,b,b,36,chicken,1,1_30
245,30,2,0.732,31,1,match,b,b,36,chicken,1,1_31
246,31,2,1.044,32,1,match,b,b,36,chicken,1,1_32
247,32,2,0.813,33,1,match,b,b,36,chicken,1,1_33
248,33,2,0.626,34,1,match,b,b,36,chicken,1,1_34
249,34,2,3.566,35,1,match,b,b,36,chicken,1,1_35
250,35,2,0.824,36,1,match,b,b,36,chicken,1,1_36
251,36,2,1.154,37,1,match,b,b,36,chicken,1,1_37
252,37,2,1.349,38,1,match,b,b,36,chicken,1,1_38
253,38,2,0.942,39,1,match,b,b,36,chicken,1,1_39
