,index,response,rt,ppt_idx,match,condition_a,object,accuracy,list,ppt_id
199,23,2,0.738,24,Match,whole,apple,1,1,1_24
200,24,2,0.767,25,Match,whole,apple,1,1,1_25
201,25,2,1.293,26,Match,whole,apple,1,1,1_26
202,26,1, ,27,Match,whole,apple,0,1,1_27
203,27,2,0.48,28,Match,whole,apple,1,1,1_28
204,28,2,0.44,29,Match,whole,apple,1,1,1_29
205,29,2,0.644,30,Match,whole,apple,1,1,1_30
206,30,2,1.072,31,Match,whole,apple,1,1,1_31
207,31,2,1.125,32,Match,whole,apple,1,1,1_32
208,32,2,1.031,33,Match,whole,apple,1,1,1_33
209,33,2,1.336,34,Match,whole,apple,1,1,1_34
210,34,2,0.831,35,Match,whole,apple,1,1,1_35
211,35,2,1.09,36,Match,whole,apple,1,1,1_36
212,36,2,0.853,37,Match,whole,apple,1,1,1_37
213,37,2,0.569,38,Match,whole,apple,1,1,1_38
214,38,2,0.9,39,Match,whole,apple,1,1,1_39
215,39,2,2.005,40,Match,whole,apple,1,1,1_40
216,40,2,0.478,41,Match,whole,apple,1,1,1_41
217,41,2,1.437,42,Match,whole,apple,1,1,1_42
218,42,2,1.072,43,Match,whole,apple,1,1,1_43
219,43,2,1.539,44,Match,whole,apple,1,1,1_44
220,0,2,1.365,1,Match,loaf,bread,1,1,1_1
221,1,2,0.917,2,Match,loaf,bread,1,1,1_2
222,2,2,0.984,3,Match,loaf,bread,1,1,1_3
223,3,2,0.649,4,Match,loaf,bread,1,1,1_4
224,4,2,0.625,5,Match,loaf,bread,1,1,1_5
225,5,2,0.615,6,Match,loaf,bread,1,1,1_6
226,6,2,1.826,7,Match,loaf,bread,1,1,1_7
227,7,2,1.338,8,Match,loaf,bread,1,1,1_8
228,8,2,0.967,9,Match,loaf,bread,1,1,1_9
229,9,2,0.653,10,Match,loaf,bread,1,1,1_10
230,10,2,0.474,11,Match,loaf,bread,1,1,1_11
231,11,2,0.679,12,Match,loaf,bread,1,1,1_12
232,12,2,0.762,13,Match,loaf,bread,1,1,1_13
233,13,2,1.332,14,Match,loaf,bread,1,1,1_14
234,14,2,1.157,15,Match,loaf,bread,1,1,1_15
235,15,2,0.773,16,Match,loaf,bread,1,1,1_16
236,16,2,0.648,17,Match,loaf,bread,1,1,1_17
237,17,2,0.929,18,Match,loaf,bread,1,1,1_18
238,18,2,0.807,19,Match,loaf,bread,1,1,1_19
239,19,2,0.824,20,Match,loaf,bread,1,1,1_20
240,20,2,9.836,21,Match,loaf,bread,1,1,1_21
241,21,2,0.695,22,Match,loaf,bread,1,1,1_22
242,22,2,1.146,23,Match,loaf,bread,1,1,1_23
243,23,2,0.538,24,Match,loaf,bread,1,1,1_24
244,24,2,0.487,25,Match,loaf,bread,1,1,1_25
245,25,2,1.181,26,Match,loaf,bread,1,1,1_26
246,26,2,2.002,27,Match,loaf,bread,1,1,1_27
247,27,2,0.467,28,Match,loaf,bread,1,1,1_28
248,28,2,0.993,29,Match,loaf,bread,1,1,1_29
249,29,2,0.557,30,Match,loaf,bread,1,1,1_30
250,30,2,0.596,31,Match,loaf,bread,1,1,1_31
251,31,2,0.968,32,Match,loaf,bread,1,1,1_32
252,32,2,0.848,33,Match,loaf,bread,1,1,1_33
253,33,2,2.33,34,Match,loaf,bread,1,1,1_34
254,34,2,0.604,35,Match,loaf,bread,1,1,1_35
255,35,2,1.273,36,Match,loaf,bread,1,1,1_36
256,36,2,0.952,37,Match,loaf,bread,1,1,1_37
257,37,2,1.401,38,Match,loaf,bread,1,1,1_38
258,38,2,1.402,39,Match,loaf,bread,1,1,1_39
259,39,2,1.227,40,Match,loaf,bread,1,1,1_40
260,40,2,1.704,41,Match,loaf,bread,1,1,1_41
261,41,2,1.418,42,Match,loaf,bread,1,1,1_42
262,42,2,0.51,43,Match,loaf,bread,1,1,1_43
263,43,2,1.236,44,Match,loaf,bread,1,1,1_44
264,0,2,0.708,1,Match,chunk,cheese,1,1,1_1
265,1,2,0.688,2,Match,chunk,cheese,1,1,1_2
266,2,2,0.785,3,Match,chunk,cheese,1,1,1_3
267,3,2,0.455,4,Match,chunk,cheese,1,1,1_4
